Id,Name,PublishDate,MarketId,IndustryId
2364,倫飛,1997/08/11,上市,電腦及週邊設備業
2365,昆盈,1997/11/03,上市,電腦及週邊設備業
2367,燿華,1997/12/13,上市,電子零組件業
2368,金像電,1998/03/09,上市,電子零組件業
2369,菱生,1998/04/10,上市,半導體業
2371,大同,1962/02/09,上市,電機機械
2373,震旦行,1991/08/01,上市,其他電子業
2374,佳能,1995/01/16,上市,光電業
2375,凱美,1998/08/29,上市,電子零組件業
2376,技嘉,1998/09/24,上市,電腦及週邊設備業
2377,微星,1998/10/31,上市,電腦及週邊設備業
2379,瑞昱,1998/10/26,上市,半導體業
2380,虹光,1998/12/03,上市,電腦及週邊設備業
2382,廣達,1999/01/08,上市,電腦及週邊設備業
2383,台光電,1998/11/27,上市,電子零組件業
2385,群光,1999/01/05,上市,電子零組件業
2387,精元,1999/01/25,上市,電腦及週邊設備業
2388,威盛,1999/03/05,上市,半導體業
2390,云辰,1999/06/15,上市,其他電子業
2392,正崴,1999/09/20,上市,電子零組件業
2393,億光,1999/11/04,上市,光電業
2395,研華,1999/12/13,上市,電腦及週邊設備業
2397,友通,2000/01/15,上市,電腦及週邊設備業
2399,映泰,1999/12/16,上市,電腦及週邊設備業
2401,凌陽,2000/01/27,上市,半導體業
2402,毅嘉,2000/01/14,上市,電子零組件業
2404,漢唐,2000/03/14,上市,其他電子業
2405,輔信,2000/03/17,上市,電腦及週邊設備業
2406,國碩,2000/04/29,上市,光電業
2408,南亞科,2000/08/17,上市,半導體業
2409,友達,2000/09/08,上市,光電業
2412,中華電,2000/10/27,上市,通信網路業
2413,環科,2000/09/11,上市,電子零組件業
2414,精技,2000/09/11,上市,電子通路業
2415,錩新,2000/09/11,上市,電子零組件業
2417,圓剛,2000/09/11,上市,電腦及週邊設備業
2419,仲琦,2000/09/11,上市,通信網路業
2420,新巨,2000/09/11,上市,電子零組件業
2421,建準,2000/09/11,上市,電子零組件業
2423,固緯,2000/09/11,上市,其他電子業
2424,隴華,2000/09/11,上市,通信網路業
2425,承啟,2000/09/11,上市,電腦及週邊設備業
2426,鼎元,2000/09/11,上市,光電業
2427,三商電,2000/09/11,上市,資訊服務業
2428,興勤,2000/09/11,上市,電子零組件業
2429,銘旺科,2000/09/11,上市,光電業
2430,燦坤,2000/09/11,上市,電子通路業
2431,聯昌,2000/09/11,上市,電子零組件業
2433,互盛電,2000/09/11,上市,其他電子業
2434,統懋,2000/09/11,上市,半導體業
2436,偉詮電,2000/09/11,上市,半導體業
2438,翔耀,2000/09/11,上市,光電業
2439,美律,2000/09/11,上市,通信網路業
2440,太空梭,2000/11/10,上市,電子零組件業
2441,超豐,2000/10/26,上市,半導體業
2442,新美齊,2000/11/22,上市,建材營造業
2444,兆勁,2000/12/08,上市,通信網路業
2449,京元電子,2001/05/09,上市,半導體業
2450,神腦,2001/05/24,上市,通信網路業
2451,創見,2001/05/03,上市,半導體業
2453,凌群,2001/05/22,上市,資訊服務業
2454,聯發科,2001/07/23,上市,半導體業
2455,全新,2002/01/24,上市,通信網路業
2457,飛宏,2001/09/17,上市,電子零組件業
2458,義隆,2001/09/17,上市,半導體業
2459,敦吉,2001/09/17,上市,其他電子業
2460,建通,2001/09/17,上市,電子零組件業
2461,光群雷,2001/09/17,上市,其他電子業
2462,良得電,2001/09/17,上市,電子零組件業
2464,盟立,2001/09/17,上市,其他電子業
2465,麗臺,2001/09/19,上市,電腦及週邊設備業
2466,冠西電,2001/09/17,上市,光電業
2467,志聖,2001/09/17,上市,電子零組件業
2468,華經,2001/09/17,上市,資訊服務業
2471,資通,2001/09/17,上市,資訊服務業
2472,立隆電,2001/09/17,上市,電子零組件業
2474,可成,2001/09/17,上市,其他電子業
2476,鉅祥,2001/09/17,上市,電子零組件業
2477,美隆電,2001/09/17,上市,其他電子業
2478,大毅,2001/09/17,上市,電子零組件業
2480,敦陽科,2001/09/17,上市,資訊服務業
2481,強茂,2001/09/17,上市,半導體業
2482,連宇,2001/09/17,上市,其他電子業
2483,百容,2001/09/17,上市,電子零組件業
2484,希華,2001/09/17,上市,電子零組件業
2485,兆赫,2001/09/17,上市,通信網路業
2486,一詮,2001/09/19,上市,光電業
2488,漢平,2001/09/17,上市,其他電子業
2489,瑞軒,2001/09/17,上市,光電業
2491,吉祥全,2001/09/17,上市,光電業
2492,華新科,2001/09/17,上市,電子零組件業
2493,揚博,2002/01/23,上市,電子零組件業
2495,普安,2002/03/25,上市,電腦及週邊設備業
2496,卓越,2002/03/08,上市,其他業
2497,怡利電,2002/02/04,上市,汽車工業
2498,宏達電,2002/03/26,上市,通信網路業
2501,國建,1967/10/28,上市,建材營造業
2504,國產,1978/03/14,上市,建材營造業
2505,國揚,1979/11/14,上市,建材營造業
2506,太設,1980/02/02,上市,建材營造業
2509,全坤建,1988/05/20,上市,建材營造業
2511,太子,1991/04/24,上市,建材營造業
2514,龍邦,1992/09/26,上市,其他業
2515,中工,1993/03/02,上市,建材營造業
2516,新建,1993/05/25,上市,建材營造業
2520,冠德,1993/10/27,上市,建材營造業
